StudyName,StudyId,DeviceId,SensorId,Time,Gx,Gy,Gz
will-left,0,0,3,2016-03-18 15:32:11.442,-0.5644531,0.26538086,0.21557617
will-left,0,0,3,2016-03-18 15:32:11.468,-0.56103516,0.15917969,0.1875
will-left,0,0,3,2016-03-18 15:32:11.494,-0.5517578,0.09326172,0.123291016
will-left,0,0,3,2016-03-18 15:32:11.542,-0.57421875,0.053710938,0.13745117
will-left,0,0,3,2016-03-18 15:32:11.563,-0.5439453,0.122802734,0.18969727
will-left,0,0,3,2016-03-18 15:32:11.593,-0.564209,0.24316406,0.18066406
will-left,0,0,3,2016-03-18 15:32:11.642,-0.53393555,0.40771484,0.34375
will-left,0,0,3,2016-03-18 15:32:11.667,-0.52563477,0.59033203,0.25683594
will-left,0,0,3,2016-03-18 15:32:11.693,-0.5102539,0.8522949,0.3725586
will-left,0,0,3,2016-03-18 15:32:11.741,-0.48779297,1.0527344,0.37304688
will-left,0,0,3,2016-03-18 15:32:11.768,-0.4645996,0.95751953,0.33203125
will-left,0,0,3,2016-03-18 15:32:11.792,-0.42822266,1.0571289,0.375
will-left,0,0,3,2016-03-18 15:32:11.833,-0.328125,1.114502,0.3671875
will-left,0,0,3,2016-03-18 15:32:11.867,-0.22167969,1.1928711,0.5109863
will-left,0,0,3,2016-03-18 15:32:11.903,-0.21777344,1.0874023,0.3425293
will-left,0,0,3,2016-03-18 15:32:11.942,-0.16601563,1.1313477,0.33691406
will-left,0,0,3,2016-03-18 15:32:11.967,-0.13671875,1.1645508,0.36938477
will-left,0,0,3,2016-03-18 15:32:11.992,-0.15991211,1.1818848,0.37695313
will-left,0,0,3,2016-03-18 15:32:12.042,-0.15405273,1.3303223,0.40625
will-left,0,0,3,2016-03-18 15:32:12.066,-0.17358398,1.286377,0.4091797
will-left,0,0,3,2016-03-18 15:32:12.091,-0.19848633,1.2844238,0.39160156
will-left,0,0,3,2016-03-18 15:32:12.142,-0.21020508,1.2729492,0.3852539
will-left,0,0,3,2016-03-18 15:32:12.154,-0.23022461,1.2106934,0.3166504
will-left,0,0,3,2016-03-18 15:32:12.192,-0.21850586,1.1459961,0.3017578
will-left,0,0,3,2016-03-18 15:32:12.243,-0.2578125,1.0488281,0.2524414
will-left,0,0,3,2016-03-18 15:32:12.256,-0.29003906,0.99902344,0.22363281
will-left,0,0,3,2016-03-18 15:32:12.293,-0.33325195,0.9885254,0.23095703
will-left,0,0,3,2016-03-18 15:32:12.342,-0.3630371,0.95043945,0.22216797
will-left,0,0,3,2016-03-18 15:32:12.356,-0.38989258,0.8515625,0.22216797
will-left,0,0,3,2016-03-18 15:32:12.393,-0.4477539,0.7219238,0.22167969
will-left,0,0,3,2016-03-18 15:32:12.417,-0.50878906,0.670166,0.23706055
will-left,0,0,3,2016-03-18 15:32:12.436,-0.545166,0.54467773,0.25048828
will-left,0,0,3,2016-03-18 15:32:12.496,-0.6069336,0.37524414,0.27197266
will-left,0,0,3,2016-03-18 15:32:12.518,-0.65600586,0.31030273,0.24902344
will-left,0,0,3,2016-03-18 15:32:12.543,-0.6760254,0.23852539,0.25976563
will-left,0,0,3,2016-03-18 15:32:12.592,-0.7038574,0.08862305,0.25219727
will-left,0,0,3,2016-03-18 15:32:12.620,-0.6984863,0.017333984,0.2368164
will-left,0,0,3,2016-03-18 15:32:12.643,-0.7089844,0.008300781,0.23339844
will-left,0,0,3,2016-03-18 15:32:12.692,-0.6821289,-0.09106445,0.18334961
will-left,0,0,3,2016-03-18 15:32:12.724,-0.69970703,-0.0859375,0.16259766
