_id,sensor_id,date,calories
342,7,2016-03-13 14:05:46.982,35266
343,7,2016-03-13 14:05:48.033,35266
344,7,2016-03-13 14:05:49.055,35266
345,7,2016-03-13 14:05:50.079,35266
346,7,2016-03-13 14:05:51.111,35266
347,7,2016-03-13 14:05:52.130,35266
348,7,2016-03-13 14:05:53.154,35266
349,7,2016-03-13 14:05:54.179,35266
350,7,2016-03-13 14:05:55.178,35266
351,7,2016-03-13 14:05:56.204,35266
352,7,2016-03-13 14:05:57.240,35266
353,7,2016-03-13 14:05:58.255,35266
354,7,2016-03-13 14:05:59.281,35266
355,7,2016-03-13 14:06:00.329,35266
356,7,2016-03-13 14:06:01.329,35266
357,7,2016-03-13 14:06:02.354,35266
358,7,2016-03-13 14:06:03.404,35266
359,7,2016-03-13 14:06:04.404,35266
360,7,2016-03-13 14:06:05.430,35266
361,7,2016-03-13 14:06:06.454,35266
362,7,2016-03-13 14:06:07.478,35266
363,7,2016-03-13 14:06:08.503,35266
364,7,2016-03-13 14:06:09.528,35266
365,7,2016-03-13 14:06:10.554,35266
366,7,2016-03-13 14:06:11.583,35266
367,7,2016-03-13 14:06:12.603,35266
368,7,2016-03-13 14:06:13.629,35266
369,7,2016-03-13 14:06:14.653,35266
370,7,2016-03-13 14:06:15.692,35266
371,7,2016-03-13 14:06:16.678,35266
372,7,2016-03-13 14:06:17.743,35266
373,7,2016-03-13 14:06:18.754,35267
374,7,2016-03-13 14:06:19.753,35267
375,7,2016-03-13 14:06:20.778,35267
376,7,2016-03-13 14:06:21.836,35267
377,7,2016-03-13 14:06:22.828,35267
378,7,2016-03-13 14:06:23.855,35267
379,7,2016-03-13 14:06:24.882,35267
380,7,2016-03-13 14:06:25.908,35267
381,7,2016-03-13 14:06:26.928,35267
382,7,2016-03-13 14:06:27.956,35267
383,7,2016-03-13 14:06:28.982,35267
384,7,2016-03-13 14:06:30.004,35267
385,7,2016-03-13 14:06:31.029,35267
386,7,2016-03-13 14:06:32.055,35267
387,7,2016-03-13 14:06:33.079,35267
388,7,2016-03-13 14:06:34.105,35267
389,7,2016-03-13 14:06:35.145,35267
390,7,2016-03-13 14:06:36.161,35267
391,7,2016-03-13 14:06:37.189,35267
392,7,2016-03-13 14:06:38.184,35267
393,7,2016-03-13 14:06:39.239,35267
394,7,2016-03-13 14:06:40.254,35267
395,7,2016-03-13 14:06:41.282,35267
396,7,2016-03-13 14:06:42.295,35267
397,7,2016-03-13 14:06:43.332,35267
398,7,2016-03-13 14:06:44.329,35267
399,7,2016-03-13 14:06:45.353,35267
400,7,2016-03-13 14:06:46.381,35267
401,7,2016-03-13 14:06:47.411,35267
402,7,2016-03-13 14:06:48.435,35267
403,7,2016-03-13 14:06:49.454,35267
404,7,2016-03-13 14:06:50.479,35267
405,7,2016-03-13 14:06:51.503,35267
406,7,2016-03-13 14:06:52.529,35267
