StudyName,StudyId,DeviceId,SensorId,Time,Accx,Accy,Accz
will-left,0,0,0,2016-03-18 15:33:00.268,-0.07788086,0.3552246,0.9326172
will-left,0,0,0,2016-03-18 15:33:00.316,-0.0871582,0.35888672,0.9265137
will-left,0,0,0,2016-03-18 15:33:00.333,-0.09814453,0.37573242,0.9379883
will-left,0,0,0,2016-03-18 15:33:00.367,-0.09838867,0.3840332,0.93237305
will-left,0,0,0,2016-03-18 15:33:00.418,-0.08544922,0.37695313,0.9387207
will-left,0,0,0,2016-03-18 15:33:00.432,-0.09106445,0.3972168,0.94921875
will-left,0,0,0,2016-03-18 15:33:00.470,-0.095214844,0.24658203,0.939209
will-left,0,0,0,2016-03-18 15:33:00.517,-0.099609375,0.24682617,0.9436035
will-left,0,0,0,2016-03-18 15:33:00.531,-0.106933594,0.24267578,0.9562988
will-left,0,0,0,2016-03-18 15:33:00.568,-0.09667969,0.21362305,0.9729004
will-left,0,0,0,2016-03-18 15:33:00.617,-0.09277344,0.234375,0.98095703
will-left,0,0,0,2016-03-18 15:33:00.645,-0.09033203,0.21118164,0.97924805
will-left,0,0,0,2016-03-18 15:33:00.674,-0.107421875,0.22192383,0.97998047
will-left,0,0,0,2016-03-18 15:33:00.696,-0.12011719,0.18823242,0.97094727
will-left,0,0,0,2016-03-18 15:33:00.716,-0.1262207,0.19335938,0.9641113
will-left,0,0,0,2016-03-18 15:33:00.767,-0.123046875,0.21411133,0.9692383
will-left,0,0,0,2016-03-18 15:33:00.792,-0.1184082,0.19726563,0.9794922
will-left,0,0,0,2016-03-18 15:33:00.817,-0.119140625,0.19848633,0.97631836
will-left,0,0,0,2016-03-18 15:33:00.866,-0.10473633,0.19506836,0.97753906
will-left,0,0,0,2016-03-18 15:33:00.892,-0.1081543,0.20629883,0.97680664
will-left,0,0,0,2016-03-18 15:33:00.917,-0.11035156,0.20141602,0.9777832
will-left,0,0,0,2016-03-18 15:33:00.973,-0.119140625,0.1940918,0.98046875
will-left,0,0,0,2016-03-18 15:33:00.992,-0.12866211,0.20532227,0.97631836
will-left,0,0,0,2016-03-18 15:33:01.017,-0.12792969,0.18701172,0.9772949
will-left,0,0,0,2016-03-18 15:33:01.067,-0.114990234,0.19042969,0.9760742
will-left,0,0,0,2016-03-18 15:33:01.092,-0.11401367,0.19677734,0.9807129
will-left,0,0,0,2016-03-18 15:33:01.149,-0.115478516,0.17602539,0.97021484
will-left,0,0,0,2016-03-18 15:33:01.167,-0.11767578,0.19384766,0.9807129
will-left,0,0,0,2016-03-18 15:33:01.192,-0.12451172,0.18334961,0.97558594
will-left,0,0,0,2016-03-18 15:33:01.211,-0.1237793,0.08544922,0.9296875
will-left,0,0,0,2016-03-18 15:33:01.266,-0.122558594,0.1784668,0.953125
will-left,0,0,0,2016-03-18 15:33:01.293,-0.08862305,0.39672852,0.98779297
will-left,0,0,0,2016-03-18 15:33:01.324,-0.0793457,0.40673828,0.95825195
will-left,0,0,0,2016-03-18 15:33:01.372,-0.107910156,0.40527344,0.93652344
will-left,0,0,0,2016-03-18 15:33:01.392,-0.1159668,0.40600586,0.91430664
will-left,0,0,0,2016-03-18 15:33:01.416,-0.122802734,0.38720703,0.921875
will-left,0,0,0,2016-03-18 15:33:01.467,-0.11694336,0.3317871,0.9350586
will-left,0,0,0,2016-03-18 15:33:01.492,-0.1015625,0.32299805,0.9321289
will-left,0,0,0,2016-03-18 15:33:01.517,-0.0871582,0.33276367,0.94262695
will-left,0,0,0,2016-03-18 15:33:01.566,-0.07836914,0.3449707,0.9511719
will-left,0,0,0,2016-03-18 15:33:01.592,-0.087646484,0.33642578,0.9423828
will-left,0,0,0,2016-03-18 15:33:01.606,-0.091552734,0.37402344,0.9538574
will-left,0,0,0,2016-03-18 15:33:01.648,-0.111816406,0.44604492,0.9584961
will-left,0,0,0,2016-03-18 15:33:01.692,-0.110839844,0.55078125,0.93066406
will-left,0,0,0,2016-03-18 15:33:01.710,-0.17797852,0.68774414,0.98950195
will-left,0,0,0,2016-03-18 15:33:01.742,-0.19921875,0.6706543,1.0837402
will-left,0,0,0,2016-03-18 15:33:01.772,-0.24194336,0.63500977,1.0427246
will-left,0,0,0,2016-03-18 15:33:01.792,-0.27856445,0.44995117,0.9980469
will-left,0,0,0,2016-03-18 15:33:01.848,-0.27978516,0.3137207,0.7895508
will-left,0,0,0,2016-03-18 15:33:01.871,-0.24511719,0.16552734,0.74902344
will-left,0,0,0,2016-03-18 15:33:01.897,-0.25683594,0.068115234,1.0222168
will-left,0,0,0,2016-03-18 15:33:01.942,-0.38061523,-0.080566406,0.76000977
will-left,0,0,0,2016-03-18 15:33:01.967,-0.32421875,-0.65234375,0.6418457
will-left,0,0,0,2016-03-18 15:33:01.992,-0.23364258,-0.6010742,0.8737793
will-left,0,0,0,2016-03-18 15:33:02.047,-0.11254883,-0.40795898,0.9929199
will-left,0,0,0,2016-03-18 15:33:02.071,-0.11621094,-0.3305664,0.8391113
will-left,0,0,0,2016-03-18 15:33:02.093,0.017578125,-0.06567383,1.046875
will-left,0,0,0,2016-03-18 15:33:02.142,0.04345703,-0.32470703,0.90771484
will-left,0,0,0,2016-03-18 15:33:02.168,-0.115478516,-0.06958008,0.9135742
will-left,0,0,0,2016-03-18 15:33:02.192,-0.23950195,-0.0690918,0.935791
will-left,0,0,0,2016-03-18 15:33:02.241,-0.3461914,-0.12817383,0.8586426
will-left,0,0,0,2016-03-18 15:33:02.267,-0.34277344,-0.095703125,0.9020996
will-left,0,0,0,2016-03-18 15:33:02.292,-0.37231445,-0.11987305,0.98339844
will-left,0,0,0,2016-03-18 15:33:02.341,-0.33520508,-0.12646484,0.97924805
will-left,0,0,0,2016-03-18 15:33:02.368,-0.3293457,-0.10522461,0.9819336
will-left,0,0,0,2016-03-18 15:33:02.392,-0.38208008,-0.057861328,1.0266113
will-left,0,0,0,2016-03-18 15:33:02.441,-0.3449707,0.048339844,0.9838867
will-left,0,0,0,2016-03-18 15:33:02.467,-0.36083984,-0.0871582,0.99902344
will-left,0,0,0,2016-03-18 15:33:02.492,-0.3581543,-0.14941406,0.9914551
will-left,0,0,0,2016-03-18 15:33:02.541,-0.34545898,-0.09106445,0.9099121
will-left,0,0,0,2016-03-18 15:33:02.568,-0.4033203,-0.07739258,0.98583984
will-left,0,0,0,2016-03-18 15:33:02.592,-0.4885254,-0.3137207,0.91796875
will-left,0,0,0,2016-03-18 15:33:02.648,-0.43432617,0.05126953,0.8249512
will-left,0,0,0,2016-03-18 15:33:02.666,-0.3569336,0.0068359375,0.8154297
