StudyName,StudyId,DeviceId,SensorId,Time,Resistance
will-right,0,0,5,2016-03-18 15:36:09.960,2904.0
will-right,0,0,5,2016-03-18 15:36:14.946,2930.0
will-right,0,0,5,2016-03-18 15:36:19.909,2927.0
will-right,0,0,5,2016-03-18 15:36:24.893,2897.0
will-right,0,0,5,2016-03-18 15:36:29.868,2904.0
will-right,0,0,5,2016-03-18 15:36:34.855,2934.0
will-right,0,0,5,2016-03-18 15:36:39.846,2897.0
will-right,0,0,5,2016-03-18 15:36:44.810,2923.0
will-right,0,0,5,2016-03-18 15:36:49.803,2923.0
will-right,0,0,5,2016-03-18 15:36:54.796,2930.0
will-right,0,0,5,2016-03-18 15:36:59.774,2942.0
will-right,0,0,5,2016-03-18 15:37:04.736,2900.0
will-right,0,0,5,2016-03-18 15:37:09.718,2878.0
will-right,0,0,5,2016-03-18 15:37:14.695,2893.0
will-right,0,0,5,2016-03-18 15:37:19.705,2882.0
will-right,0,0,5,2016-03-18 15:37:24.665,2893.0
will-right,0,0,5,2016-03-18 15:37:29.657,2900.0
will-right,0,0,5,2016-03-18 15:37:34.617,2919.0
will-right,0,0,5,2016-03-18 15:37:39.592,2927.0
will-right,0,0,5,2016-03-18 15:37:44.586,2912.0
will-right,0,0,5,2016-03-18 15:37:49.560,2923.0
will-right,0,0,5,2016-03-18 15:37:54.545,2957.0
will-right,0,0,5,2016-03-18 15:37:59.517,2965.0
will-right,0,0,5,2016-03-18 15:38:04.502,2980.0
will-right,0,0,5,2016-03-18 15:38:09.483,2980.0
will-right,0,0,5,2016-03-18 15:38:14.473,2976.0
will-right,0,0,5,2016-03-18 15:38:19.441,2992.0
will-right,0,0,5,2016-03-18 15:38:24.443,2984.0
will-right,0,0,5,2016-03-18 15:38:29.419,2968.0
will-right,0,0,5,2016-03-18 15:38:34.394,2984.0
will-right,0,0,5,2016-03-18 15:38:39.371,3003.0
will-right,0,0,5,2016-03-18 15:38:44.345,2984.0
will-right,0,0,5,2016-03-18 15:38:49.316,2984.0
will-right,0,0,5,2016-03-18 15:38:54.318,2949.0
will-right,0,0,5,2016-03-18 15:38:59.285,2942.0
will-right,0,0,5,2016-03-18 15:39:04.270,2904.0
will-right,0,0,5,2016-03-18 15:39:09.242,2761.0
will-right,0,0,5,2016-03-18 15:39:14.216,2456.0
will-right,0,0,5,2016-03-18 15:39:19.208,2700.0
will-right,0,0,5,2016-03-18 15:39:24.184,2723.0
will-right,0,0,5,2016-03-18 15:39:29.183,2747.0
will-right,0,0,5,2016-03-18 15:39:34.158,2754.0
will-right,0,0,5,2016-03-18 15:39:39.139,2754.0
will-right,0,0,5,2016-03-18 15:39:44.118,2764.0
